baro_alt_mean,rel_alt_mean,long_accel_x_mean,long_accel_x_max,long_accel_y_mean,long_accel_y_max,long_accel_z_mean,long_accel_z_max,heading_mean,velocity_x_mean,velocity_x_max,velocity_y_mean,velocity_y_max,roll_mean,roll_max,pitch_mean,pitch_max,long_first,long_mean,lat_first,lat_mean,airspeed_mean,airspeed_max,velocity_z_mean,velocity_z_max
359.9428004,51.28113492,0.679239547,2.8243152,0.458977027,1.46119085,10.97402845,15.01398115,175.1712698,1.851789643,14.65925598,-0.465639365,16.45921135,27.15448948,47.28476334,3.640776486,14.56275368,-79.8953748,-79.89550779,40.5906405,40.59073286,15.69684746,20.18336487,0.102975501,-2.498318911
359.7524897,49.63350309,0.600853446,1.9809433,0.304937782,1.38273765,10.08692406,22.09438245,182.4060802,3.386844768,19.72404671,-1.973603015,21.39813995,1.192437251,-49.58001709,1.799177347,22.92770958,-79.8952469,-79.89824566,40.5904226,40.59144762,16.36006314,24.28785133,0.378540251,-8.521481514
374.4891974,61.83093525,-0.010586724,1.7063571,0.762801355,1.57887065,12.96962894,20.7312581,177.7606475,-1.308563598,22.36215591,-0.415355878,20.36602592,40.50528748,50.69318771,-1.342534369,-10.32717705,-79.8990176,-79.89896673,40.5914244,40.59155118,0,0,-0.335318178,-4.000170708
381.3992584,71.72883799,0.330886878,1.65732385,0.822620328,1.4121576,12.71940017,18.240369,183.9222346,0.728646338,19.37579918,0.95008976,21.73835373,40.78578785,48.9257431,0.317383571,-4.730451107,-79.8964436,-79.89647259,40.5912929,40.59137583,0,0,-0.188555716,-3.157788515
353.1979155,47.91856159,0.420953269,1.26505785,0.74519268,1.5102241,10.20077588,13.2193642,164.1051812,-1.358794232,15.78814888,2.488503205,14.82227325,12.81789683,38.83661652,1.319830463,11.9016552,-79.8994215,-79.89784971,40.591511,40.59227323,0,0,0.300313425,2.625463963
401.6942884,96.42595273,-0.036816966,-1.1964113,0.753599024,1.5886773,12.00266714,18.13249585,189.9343636,-0.573377611,21.92860413,-0.664897959,24.18527603,35.21955401,48.50675583,-2.643337159,-9.878936768,-79.8986843,-79.89876719,40.5917949,40.59168574,0,0,-0.124712696,-2.227230072
375.9419157,65.32986242,0.018368011,1.83384355,0.642569067,1.8632635,12.00520753,19.83885295,177.2768121,-0.737255096,24.90439034,-0.258814927,22.98519135,19.15468471,49.31063461,-0.264461888,-10.72147846,-79.8949909,-79.89503197,40.5916828,40.59172195,0,0,-0.048115962,3.400775671
358.8153692,50.1270654,0.071757029,2.353596,0.464800649,1.57887065,11.45148873,19.05432095,198.9188283,2.352184757,23.63663101,-1.792354968,19.35981941,6.495973841,-53.02013397,-0.620111862,13.88091564,-79.8974325,-79.89865794,40.5914836,40.59204401,0,0,0.03942818,-5.134384632
359.2342059,50.54584772,0.015353034,-2.18688295,0.511955359,1.32389775,10.74045207,17.74022985,151.326802,2.442070273,20.19863129,1.117415511,18.7106514,7.684661622,-47.27920151,-1.1007658,-20.56772804,-79.8972625,-79.89907949,40.5917904,40.59185997,0,0,0.22829027,7.084740639
371.426844,54.4187,-0.066451031,-2.0986231,0.358162277,1.10815145,10.23755713,20.8881645,300.7110909,9.437729893,11.94838905,-11.42660636,-9.833154678,4.838565894,29.22336006,-2.187925606,-19.1813488,-79.8961581,-79.89796163,40.5913529,40.59242204,0,0,0.897351105,6.790518761
